Time frequency,Income and living conditions indicator,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Malta,4.2,3.4,4.1,4.4,5.7,3.1,4.9,4.5,4.5,4.0,4.0,4.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Netherlands,3.8,5.2,4.3,2.2,4.4 b,8.5,8.4,7.1,8.1,2.1,4.3,3.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Norway,6.9,7.0,1.1,4.7,1.4,1.7,3.5,3.6,2.9,3.3 b,2.3,4.0 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Poland,11.8,10.4,11.2,10.8,9.2,12.0,11.2,11.3,11.3,11.1,10.5,9.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Portugal,10.1,12.0,13.1,13.7,12.8,12.5,11.5,11.2,9.5,10.4 b,10.1,9.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Romania,11.9,13.7,14.6,13.0,15.0,14.1,14.0,13.7,14.9,11.9,13.0,13.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Serbia,:,19.2,21.2,21.4,20.1,19.0,17.4,15.7,15.1,14.3,15.4,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Sweden,4.3,8.5,12.0,9.3,10.5,5.0,7.1,6.1,8.0,6.4,8.9,6.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Slovenia,5.0,7.1,7.5,7.3,6.8,5.0,5.7,5.2,4.4,5.3,4.8,5.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Slovakia,6.0,4.9,6.4,5.8,5.3,5.1,4.4,5.2,4.9,6.3,5.4,8.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Türkiye,9.1,7.2,8.2,7.4,7.1,7.6,7.8,8.5,9.2,8.3,8.4,8.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,United Kingdom,9.9 b,7.1,10.6,12.7,8.5,8.7 b,12.6,:,:,:,:,:
