Time frequency,Unit of measure,Sector of performance,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,European Union - 27 countries (from 2020),0.02 e,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.03 e,0.03 e
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Finland,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,France,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.05,0.05,0.04,0.04 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Croatia,:,:,:,:,:,:,:,:,:,0.0,0.0,0 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Ireland,:,:,:,:,:,:,:,:,:,:,:,0 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Iceland,:,0 b,0.0,0.0,:,0.0,0.0,:,:,:,:,0.0
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Italy,0.04,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.02 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Japan,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,:
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,South Korea,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.09,0.1,:
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Luxembourg,0.0,:,:,:,:,:,:,:,:,0 u,0 u,0 e
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Montenegro,:,0.01,0.01,0.01,0.02,0.01,0.01,0.0,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,North Macedonia,:,:,:,0.0,0.01,0.01,0.01,0.01,0.0,:,0.0,:
