Time frequency,Other gainful activity of the holder,Eurofarm indicators,Unit of measure,Other gainful activity of the spouse,Age class,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Montenegro,:,:,2.73,:
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Malta,0.57,0.46,0.56,0.35
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Netherlands,4.09,2.83,2.11,1.68
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Norway,4.59,3.7,4.25,3.41
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Poland,313.35,293.75,223.66,173.06
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Portugal,6.86,5.17,6.85,5.62
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Romania,218.37,166.87,273.7,158.38
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Sweden,3.9,3.73,2.91,2.55
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Slovenia,3.42,2.99,2.94,2.7
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Slovakia,2.76,2.39,1.49,1.6
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,United Kingdom,8.63,5.98,5.02,5.43
