Time frequency,Unit of measure,Geopolitical entity (reporting),Water process\Time,9999.0
Not applicable,Million cubic metres,Sweden,Total actual outflow,194852.2
Not applicable,Million cubic metres,Sweden,Precipitation,349790.3
Not applicable,Million cubic metres,Sweden,Renewable freshwater resources,194749.5
Not applicable,Million cubic metres,Slovenia,Actual evapotranspiration,13026.00 e
Not applicable,Million cubic metres,Slovenia,Actual external inflow from neighbouring territories,15074.00 e
Not applicable,Million cubic metres,Slovenia,Internal flow,16422.00 e
Not applicable,Million cubic metres,Slovenia,Total actual outflow,30371.00 e
Not applicable,Million cubic metres,Slovenia,Precipitation,29448.00 e
Not applicable,Million cubic metres,Slovenia,Renewable freshwater resources,31496.00 e
Not applicable,Million cubic metres,Slovakia,Actual evapotranspiration,25531.0
Not applicable,Million cubic metres,Slovakia,Actual external inflow from neighbouring territories,66086.0
Not applicable,Million cubic metres,Slovakia,Internal flow,14081.0
Not applicable,Million cubic metres,Slovakia,Total actual outflow,78150.0
Not applicable,Million cubic metres,Slovakia,Precipitation,39612.0
Not applicable,Million cubic metres,Slovakia,Renewable freshwater resources,80192.0
Not applicable,Million cubic metres,Türkiye,Actual evapotranspiration,275700.0
Not applicable,Million cubic metres,Türkiye,Actual external inflow from neighbouring territories,6900.0
Not applicable,Million cubic metres,Türkiye,Internal flow,173470.0
Not applicable,Million cubic metres,Türkiye,Total actual outflow,178000.0
Not applicable,Million cubic metres,Türkiye,Precipitation,449170.0
Not applicable,Million cubic metres,Türkiye,Renewable freshwater resources,180370.0
Not applicable,Million cubic metres,United Kingdom,Actual evapotranspiration,127289.5
Not applicable,Million cubic metres,United Kingdom,Actual external inflow from neighbouring territories,6454.0
Not applicable,Million cubic metres,United Kingdom,Internal flow,161369.3
Not applicable,Million cubic metres,United Kingdom,Total actual outflow,171014.7
Not applicable,Million cubic metres,United Kingdom,Precipitation,287606.9
Not applicable,Million cubic metres,United Kingdom,Renewable freshwater resources,172861.3
Not applicable,Million cubic metres,Kosovo*,Actual evapotranspiration,477.8
Not applicable,Million cubic metres,Kosovo*,Actual external inflow from neighbouring territories,10.5
Not applicable,Million cubic metres,Kosovo*,Internal flow,285.3
Not applicable,Million cubic metres,Kosovo*,Total actual outflow,114.5
Not applicable,Million cubic metres,Kosovo*,Precipitation,763.1
