Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Total,Males,Less than 18 years,Lithuania,13.6 b,11.8,14.0,16.6,15.8,15.5,16.1,11.7,15.5,7.3
Annual,Percentage,Total,Males,Less than 18 years,Luxembourg,2.5,2.8,2.8,2.5,2.6,4.0 b,3.2,2.6,3.3,2.6 b
Annual,Percentage,Total,Males,Less than 18 years,Latvia,24.1,26.0,25.6,26.0,22.2,21.9,20.7,22.2,18.7,14.9
Annual,Percentage,Total,Males,Less than 18 years,Montenegro,:,:,26.5,24.7,27.4,21.6,19.8,19.3,23.0,21.8
Annual,Percentage,Total,Males,Less than 18 years,North Macedonia,18.8,17.3,14.9,13.8 b,11.7,15.2,11.7,15.3,13.4,13.5
Annual,Percentage,Total,Males,Less than 18 years,Malta,2.9,1.8,2.6,2.4,2.2,3.1,3.5,2.1,2.1,1.2
Annual,Percentage,Total,Males,Less than 18 years,Netherlands,0.5,0.8,0.7,0.5,0.9,2.0 b,0.9,1.5,2.5,2.3
Annual,Percentage,Total,Males,Less than 18 years,Norway,1.4,1.7,1.6,0.6,0.8,1.9,0.4,0.7,1.2,1.3
Annual,Percentage,Total,Males,Less than 18 years,Poland,14.4,13.0,12.8,11.2,12.2,11.2,11.9,10.8,10.4,:
Annual,Percentage,Total,Males,Less than 18 years,Portugal,5.6,7.4,8.9,8.7,6.9,8.3,6.9,6.7,7.5,8.1
Annual,Percentage,Total,Males,Less than 18 years,Romania,35.1,36.4,38.0,35.2,33.1,34.5,28.3,27.0,23.9,24.5
Annual,Percentage,Total,Males,Less than 18 years,Serbia,:,:,18.6,21.0,20.6,18.2,20.5,17.1,15.3,8.9
Annual,Percentage,Total,Males,Less than 18 years,Sweden,3.0,2.0,2.2,2.4,3.6,3.0,2.7,4.4,3.3,4.1
Annual,Percentage,Total,Males,Less than 18 years,Slovenia,11.9 b,10.9,9.2,10.1,8.0,5.8,6.3,7.5,6.4,4.7
Annual,Percentage,Total,Males,Less than 18 years,Slovakia,8.3,9.4,8.6,6.7,7.4,6.9,8.1,5.1,4.6,4.1
Annual,Percentage,Total,Males,Less than 18 years,Türkiye,35.8,36.4,34.3,34.3,33.6,33.3,32.5,31.0,30.4,28.0
Annual,Percentage,Total,Males,Less than 18 years,United Kingdom,4.8,3.8 b,4.5,4.1,3.6,3.8,1.9 b,3.8,:,:
Annual,Percentage,Total,Males,Less than 18 years,Kosovo*,:,:,:,:,:,:,:,21.1,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Albania,:,:,:,:,:,:,22.7,24.4,20.9,15.0
Annual,Percentage,Total,Total,From 18 to 64 years,Austria,3.9,3.8,3.7,3.8,4.5,4.3,4.4,3.1,3.1,3.0
