Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Post-secondary non-tertiary education,Percentage,Belgium,68.0,77.2 d,77.0,76.2,78.1,77.6,74.3,74.9,26.3,75.1
Annual,Post-secondary non-tertiary education,Percentage,Bulgaria,80.3,75.4,88.8,86.3,74.2,65.1 b,49.7,45.3,40.1,57.6
Annual,Post-secondary non-tertiary education,Percentage,Switzerland,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Post-secondary non-tertiary education,Percentage,Cyprus,0.0,73.6,96.8,97.0,97.1,: m,: m,: m,: m,: m
Annual,Post-secondary non-tertiary education,Percentage,Czechia,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Post-secondary non-tertiary education,Percentage,Germany,64.3,64.7,64.7,63.2,62.6,62.1,63.6,63.8,63.3,63.5
Annual,Post-secondary non-tertiary education,Percentage,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Post-secondary non-tertiary education,Percentage,Estonia,:,:,: d,: d,:,: d,: d,: d,: d,: d
Annual,Post-secondary non-tertiary education,Percentage,Greece,:,:,98.9,97.9,98.3,97.9,98.8,97.7,96.2,93.9
Annual,Post-secondary non-tertiary education,Percentage,Spain,:,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Post-secondary non-tertiary education,Percentage,Finland,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Post-secondary non-tertiary education,Percentage,France,:,:,:,:,6.0 d,:,:,:,:,:
Annual,Post-secondary non-tertiary education,Percentage,Croatia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Post-secondary non-tertiary education,Percentage,Hungary,47.8 d,50.1,50.6,48.3,29.9,29.5,29.0,30.5,32.4,33.6
Annual,Post-secondary non-tertiary education,Percentage,Ireland,:,:,:,:,:,:,:,:,58.6,58.6
Annual,Post-secondary non-tertiary education,Percentage,Italy,:,:,:,:,:,: d,: d,: d,: d,: d
Annual,Post-secondary non-tertiary education,Percentage,Liechtenstein,: m,: m,: m,: m,:,: m,:,:,:,:
Annual,Post-secondary non-tertiary education,Percentage,Lithuania,41.0,43.5,47.6,42.4,41.1,48.4,49.8,48.4,48.4,45.5
Annual,Post-secondary non-tertiary education,Percentage,Luxembourg,:,:,:,:,100.0,100.0,100.0,100.0,100.0,100.0
Annual,Post-secondary non-tertiary education,Percentage,Latvia,40.9,35.0,37.8,38.1,61.4,63.2,63.2,63.5,45.7,60.0
Annual,Post-secondary non-tertiary education,Percentage,Montenegro,:,:,:,: m,:,: m,: m,:,: m,:
Annual,Post-secondary non-tertiary education,Percentage,North Macedonia,: d,: d,:,: d,:,: m,:,: m,: m,: m
Annual,Post-secondary non-tertiary education,Percentage,Malta,50.0,25.0,83.3,82.6,50.0,64.3,90.9,63.6,50.0,55.6
Annual,Post-secondary non-tertiary education,Percentage,Netherlands,54.7,54.3,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Post-secondary non-tertiary education,Percentage,Norway,: d,: d,32.8,29.4,29.1,29.4,28.3,42.2,42.8,48.7
Annual,Post-secondary non-tertiary education,Percentage,Poland,89.3,89.1,88.2,88.4,87.4,87.2,86.8,80.0,78.3,80.8
Annual,Post-secondary non-tertiary education,Percentage,Portugal,: d,: d,: d,: d,: d,: d,: d,: d,: d,: d
Annual,Post-secondary non-tertiary education,Percentage,Romania,39.3,37.1,38.0,34.9,32.4,32.0,34.2,31.8,29.6,29.5
Annual,Post-secondary non-tertiary education,Percentage,Serbia,: m,:,:,: m,51.1,:,:,: m,: m,: m
Annual,Post-secondary non-tertiary education,Percentage,Sweden,29.3,29.0,28.7,29.4,29.4,29.0,29.1,28.9,30.7,31.2
Annual,Post-secondary non-tertiary education,Percentage,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Post-secondary non-tertiary education,Percentage,Slovakia,18.7,19.9,20.4,20.0,21.5,21.1,25.5,26.8,26.1,27.2
Annual,Post-secondary non-tertiary education,Percentage,Türkiye,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Post-secondary non-tertiary education,Percentage,United Kingdom,: m,: m,: m,: m,: m,: m,: m,:,:,:
Annual,Short-cycle tertiary education,Percentage,Albania,:,:,:,:,:,:,:,:,: d,: d
Annual,Short-cycle tertiary education,Percentage,Austria,25.5,27.8,28.6,29.1,29.5,29.6,30.3,30.3,29.0,30.9
Annual,Short-cycle tertiary education,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,: m,:,:,:
Annual,Short-cycle tertiary education,Percentage,Belgium,:,:,: d,: d,: d,: d,: d,39.7,39.1,40.9 d
Annual,Short-cycle tertiary education,Percentage,Bulgaria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Short-cycle tertiary education,Percentage,Switzerland,:,: m,: m,: m,: m,: m,: m,: m,: m,: d
Annual,Short-cycle tertiary education,Percentage,Cyprus,64.7,64.0,65.7,71.8,68.1,75.1,72.8,79.5,80.6,78.1
Annual,Short-cycle tertiary education,Percentage,Czechia,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Short-cycle tertiary education,Percentage,Germany,62.4,59.8,59.7,63.7,64.0,67.0,88.1 bd,88.1,88.1,87.9
Annual,Short-cycle tertiary education,Percentage,Denmark,:,35.1,38.3,36.9,34.8,33.9,33.5,33.1,31.8,30.9
Annual,Short-cycle tertiary education,Percentage,Estonia,:,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Short-cycle tertiary education,Percentage,Greece,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Short-cycle tertiary education,Percentage,Spain,15.5,16.5,17.1,17.6,16.8,17.5,18.9,19.1,20.6,19.2
Annual,Short-cycle tertiary education,Percentage,European Union - 27 countries (from 2020),:,19.6 d,:,:,:,:,:,:,:,:
Annual,Short-cycle tertiary education,Percentage,European Union - 28 countries (2013-2020),:,34.0 d,:,:,:,:,:,:,:,:
Annual,Short-cycle tertiary education,Percentage,Finland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Short-cycle tertiary education,Percentage,France,:,:,:,:,8.6 d,:,:,:,:,:
Annual,Short-cycle tertiary education,Percentage,Croatia,:,:,: d,: d,:,: d,: d,: d,: d,: d
Annual,Short-cycle tertiary education,Percentage,Hungary,: d,44.8,30.7,31.6,: d,: d,: d,: d,: d,: d
Annual,Short-cycle tertiary education,Percentage,Ireland,:,:,:,:,:,: d,:,:,:,:
Annual,Short-cycle tertiary education,Percentage,Iceland,:,:,:,:,:,:,:,:,:,: d
Annual,Short-cycle tertiary education,Percentage,Italy,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Short-cycle tertiary education,Percentage,Liechtenstein,: m,: m,: m,: m,:,: m,:,:,:,:
Annual,Short-cycle tertiary education,Percentage,Lithuania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Short-cycle tertiary education,Percentage,Luxembourg,:,8.6,8.4,: d,9.2,8.7,10.4,22.8,25.1,20.7
Annual,Short-cycle tertiary education,Percentage,Latvia,77.2,86.5 d,: d,87.7 d,88.9 d,90.4 d,90.6 d,88.2 d,87.5 d,87.6 d
