domain,code,measure
"People, Work & Living Conditions",teibs030,Employment expectations indicator
"People, Work & Living Conditions",teibs040,Employment expectations by sectors
"People, Work & Living Conditions",teiis400,Labour input - total industry (excluding construction)
"People, Work & Living Conditions",teiis521,Labour input in construction
"People, Work & Living Conditions",teiis550,Building permits - monthly data
"People, Work & Living Conditions",teilm010,Unemployment by sex
"People, Work & Living Conditions",teilm011,Unemployment by sex - age group 15-24
"People, Work & Living Conditions",teilm012,Unemployment by sex - age group 25-74
"People, Work & Living Conditions",teilm020,Unemployment rate by sex
"People, Work & Living Conditions",teilm021,Unemployment rate by sex - age group 15-24
"People, Work & Living Conditions",teilm022,Unemployment rate by sex - age group 25-74
"People, Work & Living Conditions",teina090,Gross disposable income
"People, Work & Living Conditions",tepsr_lm210,Gender gap in part-time employment
"People, Work & Living Conditions",tepsr_lm230,Gender employment gap by degree of urbanisation
"People, Work & Living Conditions",tepsr_lm410,People at risk of poverty or social exclusion by sex
"People, Work & Living Conditions",tepsr_lm411,People at risk of poverty or social exclusion by age
"People, Work & Living Conditions",tepsr_lm412,Children (aged less than 18) at risk of poverty or social exclusion - EU2030 target
"People, Work & Living Conditions",tepsr_lm420,Severe material and social deprivation rate by sex
"People, Work & Living Conditions",tepsr_lm430,People living in households with very low work intensity by sex
"People, Work & Living Conditions",tepsr_lm440,Severe housing deprivation rate by tenure status
"People, Work & Living Conditions",tepsr_spi110,At-risk-of poverty rate for children (aged less than 18) by sex
"People, Work & Living Conditions",tepsr_spi120,Severe material and social deprivation rate for children (aged less than 18) by sex
"People, Work & Living Conditions",tepsr_spi130,Children (aged less than 18) living in households with very low work intensity by sex
"People, Work & Living Conditions",tepsr_wc130,Activity rate by sex
"People, Work & Living Conditions",tepsr_wc230,Labour transitions from temporary to permanent contracts by sex -3-year average
"People, Work & Living Conditions",tesem010,Employment rate by sex
"People, Work & Living Conditions",tesem040,Overall employment growth
"People, Work & Living Conditions",tesem050,"Employment rate of older workers, age group 55-64"
"People, Work & Living Conditions",tesem060,Gender employment gap
"People, Work & Living Conditions",tesem070,"Youth employment rate, age group 20-29"
"People, Work & Living Conditions",tesem080,"Employment rate of low skilled persons, age group 20-64"
"People, Work & Living Conditions",tesem090,"Employment rate of non-EU nationals, age group 20-64"
"People, Work & Living Conditions",tesem100,Part-time employment rate
"People, Work & Living Conditions",tesem120,Unemployment rate by sex
"People, Work & Living Conditions",tesem130,Long-term unemployment rate by sex
"People, Work & Living Conditions",tesem140,Youth unemployment rate by sex
"People, Work & Living Conditions",tesem170,Nominal unit labour cost growth
"People, Work & Living Conditions",tesem180,Gender pay gap in unadjusted form
"People, Work & Living Conditions",tesem190,Involuntary temporary employment
"People, Work & Living Conditions",tesem200,Newly employed
"People, Work & Living Conditions",tesem210,At-risk of poverty rate of unemployed persons
"People, Work & Living Conditions",tesem220,Tax rate on low wage earners - Unemployment trap
"People, Work & Living Conditions",tesov092,At-risk-of-poverty rate anchored at a fixed moment in time by age group - EU-SILC survey
"People, Work & Living Conditions",tesov110,In-work at-risk-of-poverty rate by sex
"People, Work & Living Conditions",tesov190,Distribution of population by household types - EU-SILC survey
"People, Work & Living Conditions",tesov250,At-risk-of-poverty rate before social transfers by sex - EU-SILC survey
"People, Work & Living Conditions",tespm020,At-risk-of-poverty threshold for a single household
"People, Work & Living Conditions",tespm030,Severe material and social deprivation rate
"People, Work & Living Conditions",tespm040,Children at risk of poverty or social exclusion
"People, Work & Living Conditions",tespm060,At risk-of-poverty rate for the population living in (quasi-)jobless households
"People, Work & Living Conditions",tespm070,In-work at-risk-of-poverty rate
"People, Work & Living Conditions",tespm080,Youth unemployment ratio (15-24)
"People, Work & Living Conditions",tespm090,At risk of poverty or social exclusion rate for elderly (65+)
"People, Work & Living Conditions",tespm100,Aggregate replacement ratio
"People, Work & Living Conditions",tespm140,Housing cost overburden rate
"People, Work & Living Conditions",tespm151,Inequality of income distribution
"People, Work & Living Conditions",tespn010,At-risk-of-poverty rate of older people by sex - EU-SILC survey
"People, Work & Living Conditions",tespn020,Median relative income of elderly people - EU-SILC survey
"People, Work & Living Conditions",tespn060,Median relative income of elderly people (60+) - EU-SILC survey
"People, Work & Living Conditions",tespn070,Aggregate replacement ratio for pensions (excluding other social benefits) by sex
"People, Work & Living Conditions",tespn080,Income inequality for older people - EU-SILC survey
"People, Work & Living Conditions",tespn090,Relative median poverty risk gap of elderly people - EU-SILC survey
"People, Work & Living Conditions",tespn100,At-risk-of-poverty rate for pensioners - EU-SILC survey
"People, Work & Living Conditions",tespn110,At-risk-of-poverty rate of elderly people by tenure status - EU-SILC survey
"People, Work & Living Conditions",tespn120,Dispersion around the at-risk-of-poverty threshold for elderly people - EU-SILC survey
"People, Work & Living Conditions",tespn240,Gender differences in the at-risk-of-poverty rate by age - EU-SILC survey
"People, Work & Living Conditions",tespn250,Gender differences in the relative income of elderly people (65+) - EU-SILC survey
"People, Work & Living Conditions",tespn260,Gender differences in the aggregate replacement ratio for pensions (excluding other social benefits) - EU-SILC survey
"People, Work & Living Conditions",tespn270,Gender differences in the relative income of older people - EU-SILC survey
"People, Work & Living Conditions",tessi010,At-risk-of-poverty rate by sex
"People, Work & Living Conditions",tessi014,At-risk-of-poverty threshold - EU-SILC survey
"People, Work & Living Conditions",tessi020,Persistent at-risk-of poverty rate by sex - EU-SILC survey
"People, Work & Living Conditions",tessi022,Persistent at-risk-of poverty rate by age group - EU-SILC survey
"People, Work & Living Conditions",tessi030,Relative median poverty risk gap by age group - EU-SILC survey
"People, Work & Living Conditions",tessi080,Material Deprivation rate by sex - EU-SILC survey
"People, Work & Living Conditions",tessi082,Material Deprivation rate by age group - EU-SILC survey
"People, Work & Living Conditions",tessi121,At-risk-of poverty rate by household type - EU-SILC survey
"People, Work & Living Conditions",tessi125,At-risk-of poverty rate by tenure status - EU-SILC survey
"People, Work & Living Conditions",tessi126,Dispersion around the at-risk-of-poverty threshold - EU-SILC survey
"People, Work & Living Conditions",tessi150,Depth of material deprivation - EU-SILC survey
"People, Work & Living Conditions",tessi160,Housing cost overburden rate by sex - EU-SILC survey
"People, Work & Living Conditions",tessi161,Housing cost overburden rate by age group - EU-SILC survey
"People, Work & Living Conditions",tessi162,Housing cost overburden rate by income quintile - EU-SILC survey
"People, Work & Living Conditions",tessi163,Housing cost overburden rate by poverty status - EU-SILC survey
"People, Work & Living Conditions",tessi164,Housing cost overburden rate by tenure status - EU-SILC survey
"People, Work & Living Conditions",tessi165,Housing cost overburden rate by degree of urbanisation - EU-SILC survey
"People, Work & Living Conditions",tessi166,Housing cost overburden rate by household type - EU-SILC survey
"People, Work & Living Conditions",tessi170,Overcrowding rate by sex - EU-SILC survey
"People, Work & Living Conditions",tessi171,Overcrowding rate by age group - EU-SILC survey
"People, Work & Living Conditions",tessi172,Overcrowding rate by poverty status - EU-SILC survey
"People, Work & Living Conditions",tessi173,Overcrowding rate by tenure status - EU-SILC survey
"People, Work & Living Conditions",tessi174,Overcrowding rate by degree of urbanisation - EU-SILC survey
"People, Work & Living Conditions",tessi175,Overcrowding rate by household type - EU-SILC survey
"People, Work & Living Conditions",tessi176,Overcrowding rate by sex - population without single-person households - EU-SILC survey
"People, Work & Living Conditions",tessi177,Overcrowding rate by age group - population without single-person households - EU-SILC survey
"People, Work & Living Conditions",tessi178,Overcrowding rate by poverty status - population without single-person households - EU-SILC survey
"People, Work & Living Conditions",tessi180,Income quintile share ratio (S80/S20) by sex
"People, Work & Living Conditions",tessi190,Gini coefficient of equivalised disposable income
"People, Work & Living Conditions",tessi191,Gini coefficient of equivalised disposable income for children aged less than 18
"People, Work & Living Conditions",tessi220,At-risk-of-poverty rate anchored at a fixed moment in time by sex - EU-SILC survey
"People, Work & Living Conditions",tessi250,In-work at-risk-of-poverty rate by working time - EU-SILC survey
"People, Work & Living Conditions",tessi291,Housing deprivation rate by number of item - EU-SILC survey
"People, Work & Living Conditions",tessi292,"Share of total population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames of floor - EU-SILC survey"
"People, Work & Living Conditions",tessi293,"Share of total population having neither a bath, nor a shower in their dwelling - EU-SILC survey"
"People, Work & Living Conditions",tessi294,Share of total population not having indoor flushing toilet for the sole use of their household - EU-SILC survey
"People, Work & Living Conditions",tessi295,Share of total population considering their dwelling as too dark - EU-SILC survey
"People, Work & Living Conditions",tessi300,Median of the housing cost burden distribution by sex - EU-SILC survey
"People, Work & Living Conditions",tessi301,Median of the housing cost burden distribution by age group - EU-SILC survey
"People, Work & Living Conditions",tessi302,Median of the housing cost burden distribution by poverty status - EU-SILC survey
"People, Work & Living Conditions",tessi303,Median of the housing cost burden distribution by degree of urbanisation - EU-SILC survey
"People, Work & Living Conditions",tgs00027,"population, Candidate countries and potential candidates"
"People, Work & Living Conditions",tgs00103,At-risk-of-poverty rate by NUTS 2 regions
"People, Work & Living Conditions",tgs00104,Severe material deprivation rate by NUTS 2 regions
"People, Work & Living Conditions",tgs00107,People at risk of poverty or social exclusion by NUTS 2 regions
"People, Work & Living Conditions",tgs00108,People living in households with very low work intensity by NUTS 2 regions (population aged 0 to 59 years)
"People, Work & Living Conditions",tipsho50,Building permits - annual data
"People, Work & Living Conditions",tipslc10,People at risk of poverty or social exclusion
"People, Work & Living Conditions",tipslc20,People at risk of poverty after social transfer
"People, Work & Living Conditions",tipslc30,Severely materially and socially deprived people
"People, Work & Living Conditions",tipslc40,People living in households with very low work intensity
"People, Work & Living Conditions",tipslm10,Nominal unit labour cost per hour worked - 3 years % change
"People, Work & Living Conditions",tipslm100,Employment rate
"People, Work & Living Conditions",tipslm13,"Compensation of employees - annual data, million units of national currency"
"People, Work & Living Conditions",tipslm15,"Labour force participation rate, aged 15-64 - annual averages"
"People, Work & Living Conditions",tipslm16,"Population, aged 15-74 - labour force survey"
"People, Work & Living Conditions",tipslm20,"Nominal unit labour cost per hour worked - annual data, % changes and index = 100)"
"People, Work & Living Conditions",tipslm60,Labour force participation rate - % of total population aged 15-64
"People, Work & Living Conditions",tipslm70,"Long-term unemployment rate, % of active population aged 15-74"
"People, Work & Living Conditions",tipslm80,Youth unemployment rate - % of active population aged 15-24
"People, Work & Living Conditions",tipslm90,Young people neither in employment nor in education and training (15-29 years) - % of the total population in the same age group
"People, Work & Living Conditions",tipsna60,"Employment, domestic concept - annual data"
"People, Work & Living Conditions",tipsna62,"Employees, domestic concept - annual data"
"People, Work & Living Conditions",tipsun10,Unemployment rate - 3 year average
"People, Work & Living Conditions",tipsun20,Unemployment rate - annual data
"People, Work & Living Conditions",tipsun30,"Unemployment rate - quarterly data, seasonally adjusted"
"People, Work & Living Conditions",tps00001,Population on 1 January
"People, Work & Living Conditions",tps00003,Population density
"People, Work & Living Conditions",tps00005,Population as a percentage of EU27 (from population
"People, Work & Living Conditions",tps00014,Mean age at first marriage by sex
"People, Work & Living Conditions",tps00017,Mean age of women at childbirth and at birth of first child
"People, Work & Living Conditions",tps00019,"Population change - crude rates of total change, natural change and net migration plus adjustment"
"People, Work & Living Conditions",tps00024,Acquisition of citizenship
"People, Work & Living Conditions",tps00028,Proportion of population aged 65 and over
"People, Work & Living Conditions",tps00053,Employment rates of recent graduates
"People, Work & Living Conditions",tps00066,Unemployment rates of the population aged 25-64 by educational attainment level
"People, Work & Living Conditions",tps00071,Hours worked per week of full-time employment
"People, Work & Living Conditions",tps00073,Employees with a contract of limited duration (annual average)
"People, Work & Living Conditions",tps00098,Expenditure on social protection
"People, Work & Living Conditions",tps00099,expenditure on social protection per head of population. ECU/EUR
"People, Work & Living Conditions",tps00100,Expenditure on social protection per inhabitant
"People, Work & Living Conditions",tps00101,expenditure on social protection by type
"People, Work & Living Conditions",tps00102,expenditure on social benefits
"People, Work & Living Conditions",tps00105,Other expenditure on social protection
"People, Work & Living Conditions",tps00108,Social protection receipts by type
"People, Work & Living Conditions",tps00151,"At-risk-of-poverty-rate, by highest level of education attained"
"People, Work & Living Conditions",tps00155,Minimum wages
"People, Work & Living Conditions",tps00157,Population without the citizenship of the reporting country
"People, Work & Living Conditions",tps00159,Persons employed part-time -
"People, Work & Living Conditions",tps00172,"Job vacancies in number and % - NACE Rev. 2, B-S, quarterly data"
"People, Work & Living Conditions",tps00175,"Average gross annual earnings in industry and services, by sex"
"People, Work & Living Conditions",tps00176,Immigration
"People, Work & Living Conditions",tps00177,Emigration
"People, Work & Living Conditions",tps00178,Foreign-born population
"People, Work & Living Conditions",tps00181,Jobless households - children
"People, Work & Living Conditions",tps00182,Jobless households by sex
"People, Work & Living Conditions",tps00184,At-risk-of-poverty rate after social transfers by sex
"People, Work & Living Conditions",tps00189,Asylum applicants by type - monthly data
"People, Work & Living Conditions",tps00190,Persons subject of asylum applications pending at the end of the month - monthly data
"People, Work & Living Conditions",tps00191,Asylum applicants by type - annual aggregated data
"People, Work & Living Conditions",tps00192,First instance decisions on asylum applications by type of decision - annual aggregated data
"People, Work & Living Conditions",tps00193,Final decisions on asylum applicationsby type of decision - annual data
"People, Work & Living Conditions",tps00194,Asylum applicants considered to be unaccompanied minors - annual data
"People, Work & Living Conditions",tps00195,Resettled persons - annual data
"People, Work & Living Conditions",tps00198,Old-age-dependency ratio
"People, Work & Living Conditions",tps00199,fertility rate
"People, Work & Living Conditions",tps00203,unemployment rate
"People, Work & Living Conditions",tps00204,Live births and crude birth rate
"People, Work & Living Conditions",tps00206,Crude marriage rate
"People, Work & Living Conditions",tps00216,Crude divorce rate
"People, Work & Living Conditions",tqoe3a5,Employed persons having more than one job by sex
"People, Work & Living Conditions",tqoe3b4,Employees with a flexible work schedule by sex
"People, Work & Living Conditions",tqoe4a3,Employed persons being self-employed without employees by sex
"People, Work & Living Conditions",tsc00005,"Share of women researchers, by sectors of performance"
"People, Work & Living Conditions",tsc00006,"Share of women researchers, all sectors"
"People, Work & Living Conditions",tsc00011,Employment in high- and medium-high technology manufacturing sectors and knowledge-intensive service sectors
"People, Work & Living Conditions",urt_lfe3emprt$dv_1586,"Employment rates by sex, age and other typologies"
"People, Work & Living Conditions",yth_demo_030,Estimated average age of young people leaving the parental household by sex
Tech & Innovation,bs_bs14_04,Income from intellectual property rights for computer services
Tech & Innovation,cei_cie020,Patents related to recycling and secondary raw materials
Tech & Innovation,egi_rd1,Intra-mural Business Enterprise R&D Expenditures in Foreign Controlled Enterprises
Tech & Innovation,enpe_isoc_ci_ifp_fu,Frequency of internet use by individuals aged 16-74
Tech & Innovation,enpe_isoc_ci_in_h,Percentage of households having internet access at home
Tech & Innovation,enpe_rd_e_gerdfund,Gross domestic expenditure on R&D (GERD)
Tech & Innovation,ipr_dr_tot,Registered Community designs (RCD)
Tech & Innovation,ipr_ta_gdp,European Union trade mark (EUTM) applications per billion GDP
Tech & Innovation,ipr_ta_ntr,European Union trade mark (EUTM) applications by nature of the trade mark
Tech & Innovation,ipr_ta_pop,European Union trade mark (EUTM) applications per million population
Tech & Innovation,ipr_ta_tot,European Union trade mark (EUTM) applications
Tech & Innovation,ipr_ta_typ,European Union trade mark (EUTM) applications by type of the trade mark
Tech & Innovation,isoc_cbs,Broadband internet coverage by speed
Tech & Innovation,isoc_ci_ac_i$dv_1043,Individuals - internet activities
Tech & Innovation,isoc_ci_ac_i$dv_1122,Individuals - internet activities
Tech & Innovation,isoc_ci_cm_h$dv_507,Households - availability of computers
Tech & Innovation,isoc_ci_in_h$dv_512,Households - level of internet access
Tech & Innovation,isoc_cisci_f$dv_536,Safety copies and back up files
Tech & Innovation,isoc_r_cux_i,Individuals who have never used a computer
Tech & Innovation,isoc_sk_cskl_i$dv_266,Individuals' level of computer skills (until
Tech & Innovation,isoc_sk_dskl_i$dv_317,Individuals' level of digital skills (until
Tech & Innovation,med_ag1,Structural information
Tech & Innovation,med_ps33,Communication
Tech & Innovation,met_ipr_dr,Registered Community designs (RCD) by metropolitan regions
Tech & Innovation,nrg_dhdc_c,Customers by type of district network and efficiency of network
Tech & Innovation,rd_b_berdcon,BERD by concentration of personnel (ranking)
Tech & Innovation,rd_p_con,R&D personnel and researchers in the business enterprise sector by concentration of personnel (ranking)
Tech & Innovation,sdg_09_40,Patent applications to the European Patent Office by applicants' / inventors' country of residence
Tech & Innovation,sdg_17_60,"High-speed internet coverage, by type of area"
Tech & Innovation,tepsr_sp410,Individuals who have basic or above basic overall digital skills by sex
Tech & Innovation,tgs00047,Households that have internet access at home by NUTS 2 regions
Tech & Innovation,tgs00052,Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions
Tech & Innovation,tin00028,Internet use by individuals
Tech & Innovation,tin00091,Individuals regularly using the internet
Tech & Innovation,tin00092,Individuals frequently using the internet
Tech & Innovation,tin00093,Individuals who have never used the internet
Tech & Innovation,tin00094,Individuals using the internet for sending/receiving e-mails
Tech & Innovation,tin00095,Individuals using the internet for finding information about goods and services
Tech & Innovation,tin00096,Individuals using the internet for buying goods or services
Tech & Innovation,tin00098,Individuals using the internet for selling goods or services
Tech & Innovation,tin00099,Individuals using the internet for internet banking
Tech & Innovation,tin00102,Individuals using the internet for looking for a job or sending a job application
Tech & Innovation,tin00103,Individuals using the internet for doing an online course
Tech & Innovation,tin00111,Enterprises having received orders online (at least 1%) - % of enterprises
Tech & Innovation,tin00116,"Enterprises using software solutions, like CRM to analyse information about clients for marketing purposes"
Tech & Innovation,tin00127,Individuals using the internet for participating in social networks
Tech & Innovation,tin00134,Level of internet access - households
Tech & Innovation,tipsst10,Gross domestic expenditure on research and development (R&D)
Tech & Innovation,tsc00001,"Research and development expenditure, by sectors of performance"
Tech & Innovation,tsc00003,researchers by sectors of performance - head count
Tech & Innovation,tsc00025,Human resources in science and technology (HRST)
Tech & Innovation,tsc00031,Intramural R&D expenditure (GERD) by source of funds
Tech & Innovation,urt_ipr_dr,Registered Community designs (RCD) by other typologies
Transports,avia_ec_emp_arp,Persons employed in main airports by sex
Transports,avia_ec_emp_ent,Persons employed in aviation and airport enterprises by sex
Transports,avia_ec_enterp,Aviation and airport enterprises
Transports,avia_eq_arc_age,Commercial aircraft fleet by age of aircraft and country of operator
Transports,avia_eq_arc_agereg,Commercial aircraft fleet by age of aircraft and country of registration
Transports,avia_if_arp,Commercial airports by type
Transports,avia_tpgo,Freight and mail air transport over national territory (including territorial sea) - million tonne-km
Transports,avia_tppa,Passenger air transport over national territory (including territorial sea) - million passenger-km
Transports,enpe_mar_go,Gross weight of goods handled
Transports,enpe_rail_go,Goods transported
Transports,enpe_rail_if,Length of lines
Transports,enpe_road_eqs_car,Passenger cars
Transports,enpe_road_go,Road freight transport
Transports,enpe_road_if,Length of roads network
Transports,enpe_road_pa,Passenger road transport
Transports,enps_avia_fr,Freight and mail air transport (including national transport)
Transports,enps_avia_if,Number of airports
Transports,enps_avia_pa,Air passenger transport
Transports,enps_avia_typ,Commercial aircraft fleet by type of aircraft
Transports,enps_mar_eq1000,Number of ships of 1000 grt and over by type
Transports,enps_mar_eq300,Number of ships of 300 grt and over
Transports,enps_mar_eqton,Carrying capacity of merchant ships of 1000 grt and over by vessel type
Transports,enps_mar_frdir,Gross weight of goods handled in all ports by direction
Transports,enps_mar_padir,Passengers embarked and disembarked (excluding cruises) in all ports by direction
Transports,enps_mar_por,Number of principal ports
Transports,enps_rail_eq,Number of railway vehicles per type
Transports,enps_rail_fr,Rail freight traffic
Transports,enps_rail_if,Length of network
Transports,enps_rail_pa,Rail passenger traffic
Transports,enps_road_eqs_car,Stock of vehicles by category
Transports,enps_road_go,Road freight transport
Transports,enps_road_if,Length of roads network
Transports,iww_ac_nbac,Accidents in inland waterway transport
Transports,iww_ec_employ,Employment in inland waterways transport enterprises by number of vessels in enterprises -
Transports,iww_ec_empsex,Employment in inland waterways transport enterprises by sex -
Transports,iww_ec_ent_c,Carrying capacity of the inland waterway transport enterprises vessels by number of vessels in enterprises -
Transports,iww_ec_ent_n,Inland waterway transport enterprises by number of vessels -
Transports,iww_ec_invest,Expenditure on inland waterway transport infrastructure and freight vessels
Transports,iww_eq_age_loa,Load capacity of self-propelled vessels by year of construction
Transports,iww_eq_power_lo,Power of self-propelled vessels by load capacity
Transports,iww_go_actygo07,Container transport by type of goods and coverage
Transports,iww_if_hordim,"Navigable inland waterways, by horizontal dimensions of vessels and pushed convoys"
Transports,iww_if_infrastr,Length of navigable inland waterways by waterway type
Transports,iww_tf_vetf,Vessel traffic
Transports,mar_mg_aa_cwh,Country level - gross weight of goods handled in all ports
Transports,mar_mg_aa_pwhd,Gross weight of goods handled in the top 20 ports by direction
Transports,mar_mg_am_cvh,"Country level - volume (in TEUs) of containers handled in main ports, by loading status"
Transports,mar_mg_am_cwt,Country level - gross weight of goods transported to/from main ports
Transports,mar_mg_am_pvh,Volume of containers handled in the top 20 main ports by loading status
Transports,mar_mp_aa_cph,Country level - passengers embarked and disembarked in all ports
Transports,mar_mp_aa_pphd,Passengers embarked and disembarked in the top 20 ports
Transports,mar_mp_am_cft,Passengers (excluding cruise passengers) transported from/to the main ports
Transports,mar_pa_qm_me,Passengers (excluding cruise passengers) transported from/to the main ports - - quarterly data
Transports,mar_pa_qm_mt,Passengers (excluding cruise passengers) transported from/to the main ports - - quarterly data
Transports,mar_qg_qm_cwh,Country level - gross weight of goods handled in main ports
Transports,mar_qg_qm_ewhd,"Eu level - gross weight of goods handled in main ports, by direction"
Transports,mar_qg_qm_ewhg,"Eu level - gross weight of goods handled in main ports, by various types of partner geographical areas"
Transports,mar_qg_qm_ewhk,"Eu level - gross weight of goods handled in main ports, by type of cargo"
Transports,mar_qg_qm_ewht,"Eu level - gross weight of goods handled in main ports, by type of traffic"
Transports,mar_qg_qm_pvh,Top 5 ports for volume of containers - volume (in TEUs) of containers handled in each port
Transports,mar_qg_qm_pwh,Top 5 ports - gross weight of goods handled in each port
Transports,mar_qg_qm_pwhc,Top 5 ports for containers - gross weight of goods in containers handled in each port
Transports,mar_qg_qm_pwhl,Top 5 ports for liquid bulk - gross weight of liquid bulk goods handled in each port
Transports,mar_qg_qm_pwhr,Top 5 ports for Ro-ro units - gross weight of goods in Ro-Ro units handled in each port
Transports,mar_sg_am_cv,"Short sea shipping - country level - volume (in TEU's) of containers transported to/from main ports, by loading status"
Transports,mar_sg_am_cwd,"Short sea shipping - country level - gross weight of goods transported to/from main ports, by direction"
Transports,mar_sg_am_ewx,"Short sea shipping - level - gross weight of goods transported to/from main ports, by type of cargo for each sea region of partner ports"
Transports,mar_sg_am_pwb,Gross weight of dry bulk goods transported in short sea shipping from/to the top 5 ports for dry bulk goods
Transports,mar_sg_am_pwc,Gross weight of goods in containers transported in short sea shipping from/to the top 5 ports for goods in containers
Transports,mar_sg_am_pwl,Gross weight of liquid bulk goods transported in short sea shipping from/to the top 5 ports for liquid bulk goods
Transports,mar_sg_am_pwr,Gross weight of goods in Ro-ro units transported in short sea shipping from/to the top 5 ports for goods in Ro-ro units
Transports,mar_tp_go,Maritime goods transport performed in the Exclusive Economic Zone of the countries
Transports,mar_tp_pa,Maritime passenger transport performed in the Exclusive Economic Zone of the countries
Transports,mar_tp_sss,Maritime goods short-sea shipping performed in the Exclusive Economic Zone of the countries
Transports,mar_v_est,Vessels arriving in main ports by type of vessels (estimates) - experimental statistics
Transports,med_air1,Air transport infrastructure: airports
Transports,med_air2,Air transport infrastructure: length of paved runways
Transports,med_air3,Air transport equipment: number of aircrafts
Transports,med_air4,Air transport traffic: number of aircraft movements
Transports,med_air5,Air transport traffic: freight and passengers
Transports,med_ma1,Maritime transport infrastructure: ports
Transports,med_ma2,Maritime equipment - number of ships of 1 000 grt and over
Transports,med_ma3,Maritime equipment - number of ships of 300 grt and over
Transports,med_ma4,Maritime equipment - carrying capacity of ships of 1 000 grt and over
Transports,med_ma5,Maritime equipment - carrying capacity of ships of 300 grt and over
Transports,med_ma6,Maritime traffic: ship movements
Transports,med_ma7,Maritime traffic: passengers and freight
Transports,med_ra1,Rail infrastructure: length of network
Transports,med_ra2,Rail equipment: number of locomotives and passenger railways vehicles
Transports,med_ra3,Rail equipment: number and capacity of railways vehicles
Transports,med_ra4,Rail equipment: number and load capacity of goods transport wagons
Transports,med_ra5,Rail passenger and freight traffic
Transports,med_rd1,Road infrastructure: lenght of road network
Transports,med_rd2,Road equipment: number of road vehicles by categories
Transports,med_rd3,Road equipment: number of road vehicles by age
Transports,med_rd4,Road equipment: load capacity of lorries
Transports,med_rd5,Road equipment: new registrations by categories
Transports,med_rd6,Road traffic: road freight transport in volume
Transports,nrg_dhdc_n,Number and length of district networks by type of network and efficiency of network
Transports,pipe_ec_employ,Persons employed in oil pipeline enterprises by sex
Transports,pipe_if_capac,Carrying capacity of pipelines operated
Transports,pipe_if_lenght,Length of pipelines operated
Transports,qoe_ewcs_3c3,Mean duration of commuting time one-way between work and home by sex and age
Transports,rail_ac_catnmbr,Railway accidents by type of accident - annual data
Transports,rail_ec_emplo_s,Persons employed in principal railway enterprises by sex (until
Transports,rail_ec_expend,Expenditure on rolling stock and railway infrastructure
Transports,rail_eq_pa_csb,Seat/berth capacity of passenger railway vehicles
Transports,rail_eq_pa_cty,Seat capacity of passenger railway vehicles by type of vehicles
Transports,rail_eq_pa_nca,Passenger railway vehicles by category of vehicle (until
Transports,rail_eq_pa_nty,"Passenger railway vehicles, by type of vehicle"
Transports,rail_eq_trset,Trainsets and capacity by type of speed
Transports,rail_eq_vans,Railway transport vans
Transports,rail_go_consgmt,Goods transported by type of consignment
Transports,rail_go_quartal,Goods transported (detailed reporting only ) - Quarterly data
Transports,rail_go_total,Goods transported
Transports,rail_if_line_sp,Length of railway lines by maximum permitted speed
Transports,rail_if_lvlcros,Level crossings by type
Transports,rail_if_tracks,Length of railway tracks by electrification of tracks
Transports,rail_if_traff,Length of railway lines equipped with the railway traffic management system by type of signalling
Transports,rail_pa_nbcar,"Passenger cars in accompanied passenger car railway transport, by type of transport"
Transports,rail_pa_nbpass,"Passengers in accompanied passenger car railway transport, by type of transport"
Transports,rail_pa_speed,Passengers transported by type of train speed
Transports,rail_pa_total,Passengers transported
Transports,rail_tf_hauseat,Hauled passenger railway vehicle traffic performance by type of railway vehicle speed - seat km (until
Transports,rail_tf_hautkmo,Hauled vehicle traffic performance - tkm (until
Transports,rail_tf_ns10_at,Train traffic on the rail network -
Transports,rail_tf_ns10_be,Train traffic on the rail network -
Transports,rail_tf_ns10_bg,Train traffic on the rail network -
Transports,rail_tf_ns10_dk,Train traffic on the rail network -
Transports,rail_tf_ns10_ee,Train traffic on the rail network -
Transports,rail_tf_ns10_el,Train traffic on the rail network -
Transports,rail_tf_ns10_fi,Train traffic on the rail network -
Transports,rail_tf_ns10_hr,Train traffic on the rail network -
Transports,rail_tf_ns10_hu,Train traffic on the rail network -
Transports,rail_tf_ns10_ie,Train traffic on the rail network -
Transports,rail_tf_ns10_li,Train traffic on the rail network -
Transports,rail_tf_ns10_lt,Train traffic on the rail network -
Transports,rail_tf_ns10_lu,Train traffic on the rail network -
Transports,rail_tf_ns10_lv,Train traffic on the rail network -
Transports,rail_tf_ns10_mk,Train traffic on the rail network - the Former Yugoslav Republic of Macedonia
Transports,rail_tf_ns10_no,Train traffic on the rail network -
Transports,rail_tf_ns10_pt,Train traffic on the rail network -
Transports,rail_tf_ns10_ro,Train traffic on the rail network -
Transports,rail_tf_ns10_si,Train traffic on the rail network -
Transports,rail_tf_ns10_sk,Train traffic on the rail network -
Transports,rail_tf_ns10_tr,Train traffic on the rail network -
Transports,rail_tf_ns15_be,Train traffic on the rail network -
Transports,rail_tf_ns15_bg,Train traffic on the rail network -
Transports,rail_tf_ns15_cz,Train traffic on the rail network - Czech Republic
Transports,rail_tf_ns15_dk,Train traffic on the rail network -
Transports,rail_tf_ns15_ee,Train traffic on the rail network -
Transports,rail_tf_ns15_fi,Train traffic on the rail network -
Transports,rail_tf_ns15_hr,Train traffic on the rail network -
