"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                    Economic accounts for agriculture by NUTS 2 region - values at n-1 prices"	"aact_eaa02_r"	"dataset"	"24.03.2026"	"24.03.2026"	"1999"	"2024"	1178768
"                    Economic accounts for agriculture by NUTS 2 region - indices (volume, price, values)"	"aact_eaa05_r"	"dataset"	"24.03.2026"	"24.03.2026"	"1999"	"2024"	1718970
"                    Economic accounts for agriculture by NUTS 2 region (until 2012)"	"agr_r_accts_h"	"dataset"	"07.03.2016"	"02.07.2024"	"1973"	"2012"	2320007
"                Agricultural labour input statistics"	"reg_aact_ali"	"folder"	" "	" "	" "	" "	
"                    Agricultural labour input statistics by NUTS 2 region - absolute figures (thousand annual work units)"	"aact_ali01_r"	"dataset"	"24.03.2026"	"24.03.2026"	"1995"	"2023"	2183
"                    Agricultural labour input statistics by NUTS 2 region - indices"	"aact_ali02_r"	"dataset"	"24.03.2026"	"24.03.2026"	"1995"	"2023"	1874
"                Agricultural production"	"reg_apro"	"folder"	" "	" "	" "	" "	
"                    Animal populations by NUTS 2 region"	"apro_mt_ls_r"	"dataset"	"31.07.2026"	"30.06.2026"	"1977"	"2025"	460637
"                        Animal populations by NUTS 2 region"	"tgs00045"	"table"	"31.07.2026"	"30.06.2026"	"2014"	"2025"	12021
"                    Production of cow's milk on farms by NUTS 2 region"	"agr_r_milkpr"	"dataset"	"01.12.2025"	"08.09.2025"	"1995"	"2024"	11599
"                        Production of cow's milk on farms by NUTS 2 region"	"tgs00046"	"table"	"01.12.2025"	"08.09.2025"	"2013"	"2024"	3462
"            Regional demographic statistics"	"reg_dem"	"folder"	" "	" "	" "	" "	
"                Population and area"	"reg_dempoar"	"folder"	" "	" "	" "	" "	
"                    Population on 1 January by age, sex and NUTS 2 region"	"demo_r_d2jan"	"dataset"	"10.08.2026"	"10.08.2026"	"1990"	"2025"	4677473
"                        Population on 1 January by NUTS 2 region"	"tgs00096"	"table"	"10.08.2026"	"10.08.2026"	"2014"	"2025"	3871
"                    Area by NUTS 3 region"	"demo_r_d3area"	"dataset"	"25.08.2020"	"10.01.2024"	"1990"	"2015"	70822
"                    Population density by NUTS 3 region"	"demo_r_d3dens"	"dataset"	"25.02.2026"	"25.02.2026"	"1990"	"2024"	57129
"                        Population density"	"tps00003"	"table"	"25.02.2026"	"25.02.2026"	"2013"	"2024"	440
"                        Population density by NUTS 2 region"	"tgs00024"	"table"	"25.02.2026"	"25.02.2026"	"2013"	"2024"	3681
"                    Population on 1 January by age group, sex and NUTS 2 region"	"demo_r_pjangroup"	"dataset"	"10.08.2026"	"10.08.2026"	"1990"	"2025"	1032451
"                    Population on 1 January by age group, sex and NUTS 3 region"	"demo_r_pjangrp3"	"dataset"	"10.07.2026"	"20.01.2026"	"2014"	"2025"	1546115
"                    Population on 1 January by broad age group, sex and NUTS 3 region"	"demo_r_pjanaggr3"	"dataset"	"10.08.2026"	"10.08.2026"	"1990"	"2025"	737872
"                    Population structure indicators by NUTS 2 region"	"demo_r_pjanind2"	"dataset"	"10.08.2026"	"10.08.2026"	"1990"	"2025"	747081
"                    Population structure indicators by NUTS 3 region"	"demo_r_pjanind3"	"dataset"	"10.07.2026"	"20.01.2026"	"2014"	"2025"	1177466
"                    Population change - Demographic balance and crude rates at regional level (NUTS 3) "	"demo_r_gind3"	"dataset"	"21.07.2026"	"22.06.2026"	"2000"	"2026"	490793
"                        Population change by NUTS 2 region - Crude rates of total change, natural change and net migration plus adjustment"	"tgs00099"	"table"	"21.07.2026"	"22.06.2026"	"2013"	"2024"	11340
"                Fertility"	"reg_demfer"	"folder"	" "	" "	" "	" "	
"                    Live births (total) by NUTS 3 region"	"demo_r_births"	"dataset"	"10.07.2026"	"26.01.2026"	"1990"	"2024"	60782
"                    Live births by age group of the mothers and NUTS 3 region"	"demo_r_fagec3"	"dataset"	"10.07.2026"	"17.02.2026"	"2013"	"2024"	271738
"                    Live births by mother's age and NUTS 2 region"	"demo_r_fagec"	"dataset"	"24.06.2026"	"17.02.2026"	"1990"	"2024"	548249
"                    Fertility rates by age and NUTS 2 region"	"demo_r_frate2"	"dataset"	"19.06.2026"	"18.02.2026"	"1990"	"2024"	491461
"                        Total fertility rate by NUTS 2 region"	"tgs00100"	"table"	"19.06.2026"	"18.02.2026"	"2013"	"2024"	3647
"                    Fertility indicators by NUTS 2 region"	"demo_r_find2"	"dataset"	"24.06.2026"	"26.01.2026"	"1990"	"2024"	40860
"                    Fertility indicators by NUTS 3 region"	"demo_r_find3"	"dataset"	"10.07.2026"	"26.01.2026"	"2013"	"2024"	65429
"                Mortality"	"reg_demmor"	"folder"	" "	" "	" "	" "	
"                    Deaths (total) by NUTS 3 region"	"demo_r_deaths"	"dataset"	"15.07.2026"	"20.02.2026"	"1990"	"2024"	60733
"                    Deaths by week, sex, 5-year age group and NUTS 3 region"	"demo_r_mweek3"	"dataset"	"14.08.2026"	"11.08.2026"	"2000-W01"	"2026-W31"	84060488
"                    Deaths by age group, sex and NUTS 3 region"	"demo_r_magec3"	"dataset"	"15.07.2026"	"01.04.2026"	"2013"	"2024"	1345393
"                    Deaths by age, sex and NUTS 2 region"	"demo_r_magec"	"dataset"	"15.07.2026"	"24.02.2026"	"1990"	"2024"	4255559
"                    Infant mortality by NUTS 2 region"	"demo_r_minf"	"dataset"	"15.07.2026"	"24.02.2026"	"1990"	"2024"	12737
"                    Infant mortality rates by NUTS 2 region"	"demo_r_minfind"	"dataset"	"30.04.2026"	"13.03.2026"	"1990"	"2024"	13582
"                    Life table by age, sex and NUTS 2 region"	"demo_r_mlife"	"dataset"	"01.06.2026"	"20.02.2026"	"1990"	"2024"	27857011
"                    Life expectancy by age, sex and NUTS 2 region"	"demo_r_mlifexp"	"dataset"	"01.06.2026"	"13.03.2026"	"1990"	"2024"	3592013
"                        Life expectancy at birth by sex and NUTS 2 region"	"tgs00101"	"table"	"01.06.2026"	"13.03.2026"	"2013"	"2024"	11013
"                Census 2011 round"	"reg_cens_11r"	"folder"	" "	" "	" "	" "	
"                    Data on persons"	"cens_11rdp"	"folder"	" "	" "	" "	" "	
"                        Population structure"	"cens_11rstr"	"folder"	" "	" "	" "	" "	
"                            Population by single year of age and NUTS 3 region"	"cens_11ag_r3"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	722521
"                        Population by family characteristics"	"cens_11rfc"	"folder"	" "	" "	" "	" "	
"                            Population by marital status and NUTS 3 region"	"cens_11ms_r3"	"dataset"	"01.04.2019"	"10.01.2024"	"2011"	"2011"	1391604
